City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Balakhninskiy,100,RU,1573148524,98,58.01,114.28,1.65,1.41
Ushtobe,91,KZ,1573148524,67,45.25,77.98,34.88,3.78
Mayo,90,CA,1573148524,92,63.59,-135.9,10.4,2.24
Kruisfontein,0,ZA,1573148525,72,-34.0,24.73,57.7,23.02
Narsaq,75,GL,1573148525,26,60.91,-46.05,42.8,31.09
Clyde River,90,CA,1573148525,92,70.47,-68.59,17.6,14.99
Bredasdorp,24,ZA,1573148525,55,-34.53,20.04,60.8,13.87
Sawtell,0,AU,1573148525,71,-30.38,153.1,57.2,5.82
Chapais,90,CA,1573148525,73,49.78,-74.86,19.4,9.17
Aklavik,75,CA,1573148525,78,68.22,-135.01,12.2,5.82
Buchanan,75,LR,1573148305,70,5.88,-10.05,87.8,5.01
Egvekinot,48,RU,1573148526,94,66.32,-179.17,12.85,13.98
Saldanha,87,PT,1573148526,81,41.42,-6.55,41.43,10.33
Cape Town,20,ZA,1573148526,63,-33.93,18.42,62.01,11.41
Butaritari,47,KI,1573148526,71,3.07,172.79,83.71,9.06
Mbandaka,95,CD,1573148526,93,0.05,18.26,74.16,1.32
Sandwick,100,GB,1573148526,93,54.57,-2.89,48.0,12.75
Severodvinsk,90,RU,1573148527,92,64.56,39.82,23.0,2.24
West Lorne,40,CA,1573148527,67,42.6,-81.61,36.0,12.75
Talnakh,40,RU,1573148527,85,69.49,88.39,10.4,11.18
Dayong,6,CN,1573148527,68,25.02,118.29,68.0,13.42
Huarmey,34,PE,1573148527,48,-10.07,-78.15,76.33,8.68
Coahuayana,1,MX,1573148527,59,18.62,-100.35,86.54,2.01
Arman,100,RU,1573148527,77,59.7,150.17,36.55,18.63
Makasar,20,ID,1573148528,73,-6.28,106.88,81.0,8.05
Rafai,73,CF,1573148528,96,4.95,23.92,69.53,1.66
Hamilton,90,CA,1573148328,80,43.26,-79.87,36.0,6.93
Lunino,100,RU,1573148528,64,53.59,45.22,50.0,2.59
Maningrida,38,AU,1573148528,78,-12.05,134.23,78.82,3.24
Lufilufi,100,WS,1573148529,81,-13.87,-171.6,79.02,12.37
Half Moon Bay,90,US,1573148529,93,37.46,-122.43,68.0,1.45
Atuona,39,PF,1573148529,79,-9.8,-139.03,79.52,15.12
Yerbogachen,47,RU,1573148529,93,61.28,108.01,-0.24,5.23
San Rafael del Sur,40,NI,1573148529,70,11.85,-86.44,86.0,6.93
Port Hedland,0,AU,1573148529,73,-20.31,118.58,71.6,1.12
Bubaque,59,GW,1573148529,70,11.28,-15.83,83.91,9.28
Portland,90,US,1573148529,70,43.66,-70.25,46.99,5.82
Lompoc,90,US,1573148509,100,34.64,-120.46,62.6,5.17
Hualmay,9,PE,1573148329,54,-11.1,-77.61,72.93,9.73
Bandarbeyla,12,SO,1573148530,70,9.49,50.81,80.92,7.07
Sangar,88,RU,1573148530,98,63.92,127.47,-23.1,4.16
Sitka,24,US,1573148531,32,37.17,-99.65,40.14,11.5
Richards Bay,92,ZA,1573148531,77,-28.77,32.06,71.31,13.82
Mogadishu,0,SO,1573148531,81,2.04,45.34,81.68,13.69
Hilo,90,US,1573148531,83,19.71,-155.08,72.0,6.93
Sheltozero,75,RU,1573148531,75,61.37,35.37,30.58,13.51
Barbastro,33,ES,1573148234,65,42.04,0.13,52.0,8.05
Barcelona,20,ES,1573148461,54,41.38,2.18,62.01,8.05
Mbaiki,10,CF,1573148531,76,3.87,17.99,75.88,1.43
Mildura,90,AU,1573148532,82,-34.18,142.16,57.2,11.41
Puerto Ayora,20,EC,1573148532,61,-0.74,-90.35,80.6,20.8
Ulkan,100,RU,1573148532,96,57.24,107.32,25.54,7.36
Kahului,40,US,1573148486,83,20.89,-156.47,75.99,4.7
Nikolskoye,90,RU,1573148532,92,59.7,30.79,27.0,8.95
Sept-Iles,40,CA,1573148316,42,50.2,-66.38,30.99,12.75
Hofn,82,IS,1573148532,73,64.25,-15.21,26.6,8.05
Vikulovo,98,RU,1573148533,94,55.07,40.96,39.54,3.18
Bambous Virieux,1,MU,1573148533,80,-20.34,57.76,75.0,5.01
Otavi,100,NA,1573148533,41,-19.64,17.34,76.62,3.74
Lebu,24,ET,1573148533,60,8.96,38.73,53.76,5.37
Camacha,75,PT,1573148533,93,33.08,-16.33,69.8,18.34
Nevers,56,FR,1573148533,75,46.99,3.16,48.99,8.05
Mtwara,20,TZ,1573148534,94,-10.28,40.18,77.0,4.27
Upernavik,12,GL,1573148534,67,72.79,-56.15,11.14,5.12
Hasaki,40,JP,1573148534,93,35.73,140.83,50.0,6.93
Klaksvik,90,FO,1573148534,69,62.23,-6.59,33.8,10.29
Sorland,90,NO,1573148534,67,67.67,12.69,32.0,5.82
Pangody,97,RU,1573148534,96,65.85,74.49,4.28,8.37
Ahipara,39,NZ,1573148534,100,-35.17,173.16,64.0,11.05
Guane,9,CU,1573148535,74,22.2,-84.09,82.89,14.52
Adre,0,TD,1573148535,15,13.47,22.2,77.88,6.73
Aykhal,7,RU,1573148535,83,65.95,111.51,-11.21,4.47
Sao Miguel,92,BR,1573148535,48,4.52,-61.01,85.12,4.38
Tiznit,0,MA,1573148535,40,29.7,-9.73,63.63,4.34
Manta,100,RO,1573148536,92,45.1,24.1,52.72,3.91
Pochutla,20,MX,1573148536,52,15.74,-96.47,90.0,4.43
Nemuro,63,JP,1573148536,67,43.32,145.57,37.69,31.85
Ribeira Grande,75,PT,1573148536,60,38.52,-28.7,69.8,5.82
Port Shepstone,100,ZA,1573148536,95,-30.74,30.45,63.57,10.56
Marolambo,91,MG,1573148536,84,-20.05,48.13,62.33,1.57
Mirnyy,99,RU,1573148536,94,56.57,36.46,33.19,5.93
Geraldton,90,CA,1573148537,72,49.72,-86.95,12.2,6.93
Tuni,75,BO,1573148537,58,-16.67,-68.14,55.4,11.41
Popondetta,100,PG,1573148537,88,-8.77,148.24,65.95,2.64
Cidreira,100,BR,1573148537,89,-30.17,-50.22,68.07,14.43
Skaudvile,80,LT,1573148537,90,55.42,22.62,40.87,1.54
Mpika,10,ZM,1573148537,40,-11.84,31.4,74.7,7.02
Nioro,50,GM,1573148537,19,13.79,-15.05,96.53,2.71
El Dorado,20,TT,1573148537,58,10.65,-61.37,87.8,13.87
Samarai,96,PG,1573148538,93,-10.62,150.67,76.15,5.08
Bethel,90,US,1573148538,92,60.79,-161.76,30.2,13.87
Tuatapere,52,NZ,1573148538,84,-46.13,167.69,53.01,4.0
Port Alfred,26,ZA,1573148539,74,-33.59,26.89,64.99,8.01
Bijie,100,CN,1573148539,81,27.3,105.3,51.35,3.38
Byron Bay,0,AU,1573148262,82,-28.65,153.62,68.0,2.3
Mountain Home,1,US,1573148539,60,43.13,-115.69,48.0,13.87
Bathsheba,40,BB,1573148539,66,13.22,-59.52,86.0,21.92
Iranshahr,0,IR,1573148539,13,27.21,60.69,62.6,5.55
Bhadohi,37,IN,1573148540,88,25.39,82.57,68.0,3.27
Boyolangu,5,ID,1573148540,88,-8.09,111.9,72.19,3.2
Chernyshevskiy,26,RU,1573148540,98,63.01,112.47,-8.14,2.39
Hobart,99,AU,1573148417,70,-42.88,147.33,42.8,6.93
Tessalit,0,ML,1573148540,14,20.2,1.01,86.0,9.04
Ramos Arizpe,75,MX,1573148540,47,25.54,-100.95,80.01,4.9
Ponta do Sol,95,BR,1573148540,63,-20.63,-46.0,81.72,7.72
Port Elizabeth,75,US,1573148472,62,39.31,-74.98,61.0,14.99
Amga,100,RU,1573148541,95,60.89,131.98,-8.13,4.16
Tasiilaq,75,GL,1573148541,74,65.61,-37.64,30.2,31.09
Kindu,100,CD,1573148541,92,-2.95,25.92,73.24,2.48
Vostok,27,RU,1573148541,73,46.45,135.83,5.94,5.73
Grand Gaube,14,MU,1573148541,80,-20.01,57.66,75.0,5.01
Cherskiy,98,RU,1573148541,78,68.75,161.3,26.24,11.77
Havoysund,90,NO,1573148542,92,71.0,24.66,28.4,14.99
Vila Velha,20,BR,1573148542,52,-3.71,-38.6,87.8,19.46
Orlik,40,PL,1573148542,93,53.95,17.74,45.0,6.93
Ilulissat,20,GL,1573148542,38,69.22,-51.1,24.8,5.82
New Norfolk,86,AU,1573148542,70,-42.78,147.06,42.8,6.93
Santos Reyes Nopala,5,MX,1573148542,62,16.11,-97.16,86.0,9.17
Alice Springs,0,AU,1573148543,16,-23.7,133.88,64.4,2.24
Kaitangata,73,NZ,1573148543,75,-46.28,169.85,55.99,5.01
Vegreville,91,CA,1573148543,69,53.5,-112.05,23.0,8.99
Fairbanks,90,US,1573148543,100,64.84,-147.72,24.8,5.86
Florence,1,US,1573148441,60,34.2,-79.77,73.0,3.36
Montespertoli,75,IT,1573148544,87,43.64,11.08,55.99,4.7
Haines Junction,100,CA,1573148544,98,60.75,-137.51,33.44,6.51
La Asuncion,15,AR,1573148544,53,-26.05,-65.39,73.51,8.63
Male,100,UA,1573148544,76,50.74,33.7,49.17,10.78
Dunedin,99,NZ,1573148544,74,-45.87,170.5,55.81,7.43
Mar del Plata,17,AR,1573148544,23,-46.43,-67.52,61.21,20.74
Dawlatabad,0,AF,1573148545,40,36.41,64.91,46.54,5.86
Ust-Nera,92,RU,1573148545,96,64.57,143.24,-3.21,6.44
Sao Joao da Barra,75,BR,1573148365,62,-21.64,-41.05,84.2,9.17
Rezh,100,RU,1573148545,86,57.37,61.4,46.72,12.17
Guerrero Negro,100,MX,1573148545,53,27.97,-114.04,72.07,2.44
Oussouye,71,SN,1573148545,55,12.49,-16.54,91.4,6.93
Naze,94,NG,1573148545,86,5.43,7.07,78.93,5.99
Goundam,3,ML,1573148546,13,16.42,-3.66,91.04,9.44
Havelock,20,US,1573148546,64,34.88,-76.9,77.0,6.46
Great Yarmouth,40,GB,1573148546,93,52.61,1.73,46.0,6.93
College,90,US,1573148546,100,64.86,-147.8,24.8,4.88
Cockburn Town,40,TC,1573148546,74,21.46,-71.14,84.2,10.29
Sao Felix do Xingu,44,BR,1573148546,34,-6.64,-51.99,96.8,4.43
Abu Zabad,0,SD,1573148547,20,12.35,29.25,83.97,10.54
Solnechnyy,28,RU,1573148547,71,50.72,136.64,10.98,3.74
Zhuhai,0,CN,1573148547,68,40.71,112.04,30.2,6.71
Esperance,90,AU,1573148547,93,-33.86,121.89,53.6,5.82
Port Hardy,90,CA,1573148547,87,50.7,-127.42,48.2,3.36
Graaff-Reinet,0,ZA,1573148547,45,-32.25,24.53,62.64,14.85
Oktyabrskoye,75,RU,1573148548,94,56.73,85.44,34.0,17.9
Ust-Kuyga,100,RU,1573148548,98,70.0,135.55,-3.05,1.28
Fortuna,1,US,1573148548,76,40.6,-124.16,53.6,3.36
Karratha,22,AU,1573148548,60,-20.74,116.85,79.23,11.07
Playa Vicente,25,MX,1573148548,88,17.83,-95.81,79.0,4.0
Shache,100,CN,1573148548,38,38.42,77.24,45.93,5.59
Slobodskoy,100,RU,1573148549,87,58.73,50.18,23.68,9.08
Noumea,20,NC,1573148549,87,-22.28,166.46,73.0,1.12
Gamba,0,CN,1573148549,71,28.28,88.52,26.47,2.82
Valdivia,74,CL,1573148549,28,-39.81,-73.25,66.43,6.93
Victoria,90,BN,1573148549,94,5.28,115.24,77.0,11.61
Port-Gentil,40,GA,1573148549,83,-0.72,8.78,82.4,9.17
Kargil,100,PK,1573148550,89,34.56,76.13,22.32,1.25
Eureka,90,US,1573148429,93,40.8,-124.16,50.0,3.36
Okha,60,RU,1573148550,65,53.59,142.95,23.16,15.12
Mahibadhoo,84,MV,1573148550,73,3.78,72.97,82.65,6.82
Port Lincoln,71,AU,1573148550,69,-34.72,135.86,53.91,21.45
Sao Domingos,46,BR,1573148550,34,-13.4,-46.32,92.8,6.02
Nagayo,75,JP,1573148550,63,32.82,129.89,62.6,3.36
Roald,40,NO,1573148551,74,62.58,6.12,35.6,5.82
Norilsk,40,RU,1573148551,85,69.35,88.2,10.4,11.18
Okhotsk,100,RU,1573148551,94,59.36,143.24,25.52,20.56
Deputatskiy,100,RU,1573148551,97,69.3,139.9,0.63,3.06
Lasa,0,CY,1573148551,60,34.92,32.53,73.4,5.82
Verkhoyansk,100,RU,1573148551,98,67.55,133.39,-7.5,1.68
Iwanai,100,JP,1573148551,89,42.97,140.51,29.1,15.39
Selkirk,20,CA,1573148551,61,50.15,-96.88,18.0,6.93
Voh,8,NC,1573148552,73,-20.95,164.69,70.02,9.8
Paamiut,100,GL,1573148552,46,61.99,-49.67,41.83,15.84
Poum,90,MK,1573148552,87,41.28,20.71,51.8,2.24
Cairns,4,AU,1573148552,88,-16.92,145.77,68.0,7.11
Saint Anthony,1,US,1573148552,55,43.97,-111.68,39.2,2.82
Progreso,0,UY,1573148552,39,-34.68,-56.22,82.4,13.87
Chuy,0,UY,1573148553,53,-33.69,-53.46,74.35,2.46
Manzanillo,5,MX,1573148316,63,19.05,-104.32,91.4,11.41
Ahuimanu,75,US,1573148553,88,21.44,-157.84,75.99,12.75
Maravilha,100,BR,1573148553,48,-26.76,-53.17,89.01,1.59
Padang,98,ID,1573148553,93,-0.92,100.36,66.81,1.34
Aberdeen,1,US,1573148554,100,46.98,-123.82,51.01,10.29
Rawson,0,AR,1573148554,57,-43.3,-65.11,50.67,13.69
Schleswig,75,DE,1573148554,86,54.52,9.57,42.01,10.29
Evanston,1,US,1573148323,50,42.04,-87.69,32.0,13.87
Casper,1,US,1573148272,68,42.87,-106.31,34.0,20.8
Batticaloa,82,LK,1573148554,88,7.71,81.69,75.31,0.43
Pevek,71,RU,1573148554,64,69.7,170.27,27.93,11.86
Nanortalik,100,GL,1573148555,71,60.14,-45.24,33.6,30.53
Abu Samrah,0,SY,1573148555,44,35.3,37.18,67.71,6.78
Port Blair,57,IN,1573148555,81,11.67,92.75,81.79,19.44
Te Anau,54,NZ,1573148555,78,-45.41,167.72,47.39,13.02
Qasigiannguit,20,GL,1573148555,38,68.82,-51.19,24.8,5.82
Ambovombe,0,MG,1573148556,54,-25.18,46.09,81.93,8.46
Inirida,38,CO,1573148556,71,3.87,-67.92,87.46,2.71
Atagay,0,RU,1573148556,87,55.1,99.39,28.35,2.48
Longyearbyen,96,NO,1573148556,66,78.22,15.63,14.0,2.24
Alofi,100,NU,1573148556,100,-19.06,-169.92,66.2,1.12
Jalapa,40,GT,1573148556,64,14.63,-89.98,71.6,23.04
Ciudad Bolivar,67,VE,1573148556,51,8.12,-63.55,91.29,9.98
Takoradi,48,GH,1573148557,81,4.89,-1.75,81.41,8.5
Montrose,40,GB,1573148557,81,56.71,-2.47,42.8,11.41
Middle Island,40,US,1573148557,67,40.88,-72.94,59.0,12.75
Marrakesh,82,MA,1573148557,29,31.63,-7.99,66.11,11.03
Agadez,0,NE,1573148557,14,16.97,7.99,93.2,6.93
Nyzhnya Duvanka,89,UA,1573148557,88,49.58,38.17,55.15,4.36
Lagunas,100,PE,1573148557,97,-5.23,-75.68,74.66,1.03
Draguignan,100,FR,1573148557,82,43.54,6.46,57.2,2.24
Osakarovka,89,KZ,1573148558,79,50.56,72.58,31.03,17.74
Kedrovyy,0,RU,1573148558,51,56.17,91.82,37.4,13.42
Bow Island,75,CA,1573148558,71,49.87,-111.38,8.6,2.24
Sudak,77,UA,1573148558,68,44.85,34.97,58.05,4.99
Cayenne,40,GF,1573148558,63,4.94,-52.33,91.4,5.82
Mizdah,0,LY,1573148558,56,31.45,12.98,60.26,6.35
Turukhansk,100,RU,1573148558,93,65.8,87.96,17.73,11.56
Oconomowoc,1,US,1573148277,53,43.11,-88.5,27.0,14.99
Mineral Wells,90,US,1573148559,87,32.81,-98.11,46.99,17.22
Vardo,90,US,1573148559,76,39.62,-77.74,61.0,4.47
Sinnamary,7,GF,1573148559,77,5.38,-52.96,82.92,12.97
Evansville,90,US,1573148559,100,37.97,-87.56,42.8,8.05
Kavieng,100,PG,1573148560,77,-2.57,150.8,83.46,13.78
Adrar,0,DZ,1573148560,17,27.87,-0.29,77.0,9.17
Qaqortoq,75,GL,1573148560,26,60.72,-46.03,42.8,31.09
Tevaitoa,37,PF,1573148560,78,-16.78,-151.5,80.26,19.26
Miranda,97,BR,1573148560,28,-20.24,-56.38,101.34,5.06
Lauria,92,IT,1573148560,98,40.05,15.84,47.57,3.67
Savalou,2,BJ,1573148560,58,7.93,1.98,84.54,3.2
Namibe,100,AO,1573148561,85,-15.19,12.15,73.89,10.13
Erzin,0,TR,1573148561,59,36.95,36.2,73.99,5.82
Sovetskiy,100,RU,1573148561,86,56.76,48.47,30.38,12.55
Coquimbo,0,CL,1573148561,88,-29.95,-71.34,57.9,6.29
Poya,17,NC,1573148561,66,-21.35,165.16,70.9,7.14
Lyuban,73,BY,1573148562,89,52.8,28.0,44.42,4.97
Sande,90,NO,1573148562,79,59.59,10.21,30.99,9.17
Hashtrud,0,IR,1573148562,32,37.48,47.05,46.49,3.42
Tutoia,20,BR,1573148562,62,-2.76,-42.27,87.8,21.92
Beloha,0,MG,1573148562,56,-25.17,45.06,77.77,5.03
Basco,1,US,1573148562,50,40.33,-91.2,34.0,8.05
Muros,75,ES,1573148563,93,42.77,-9.06,55.0,12.75
Walla Walla,1,US,1573148563,75,46.06,-118.33,46.99,4.07
Kurumkan,17,RU,1573148563,82,54.33,110.32,13.3,2.82
Hami,93,CN,1573148563,33,42.84,93.51,47.16,3.11
Barraute,75,CA,1573148563,79,48.43,-77.63,23.0,10.29
Maralal,16,KE,1573148563,75,1.1,36.7,67.59,18.1
Biak,27,ID,1573148564,65,-0.91,122.88,82.4,2.73
Pontes e Lacerda,100,BR,1573148564,90,-15.23,-59.33,74.32,3.6
Bedesa,69,ET,1573148564,43,8.9,40.78,64.24,2.33
Saint-Augustin,90,CA,1573148564,92,45.63,-73.98,34.0,5.82
Ambon,100,FR,1573148564,76,47.55,-2.56,51.01,11.41
Mackenzie,90,CA,1573148564,92,55.34,-123.09,28.4,6.93
Dwarka,75,IN,1573148564,82,28.58,77.04,75.99,3.33
Matamoros,20,US,1573148564,55,25.87,-97.51,87.8,5.82
Goulburn,0,AU,1573148565,59,-34.75,149.72,55.99,22.3
Minab,0,IR,1573148565,64,27.15,57.07,75.2,2.24
Amapa,75,HN,1573148565,74,15.09,-87.97,84.99,6.93
Norman Wells,75,CA,1573148565,84,65.28,-126.83,3.2,5.82
Luau,100,CD,1573148565,93,-10.7,22.23,64.9,4.0
Kamenka,94,MD,1573148565,86,48.03,28.7,48.99,1.25
Hadejia,4,NG,1573148566,13,12.45,10.04,86.38,6.58
Qianguo,58,CN,1573148566,35,45.12,124.86,32.95,17.4
Buluang,75,PH,1573148566,74,10.47,123.98,82.4,6.93
Pisco,90,PE,1573148566,30,-13.71,-76.2,71.6,8.05
Iquitos,75,PE,1573148566,66,-3.75,-73.25,86.0,3.36
Suntar,6,RU,1573148566,96,62.16,117.65,-4.8,2.19
Kazerun,0,IR,1573148567,36,29.62,51.65,68.0,0.56
Merano,75,IT,1573148567,80,46.67,11.16,48.2,5.82
Trzebiatow,20,PL,1573148567,93,54.06,15.26,48.0,11.41
Meulaboh,98,ID,1573148567,76,4.14,96.13,80.71,4.99
Polewali,100,ID,1573148567,79,-4.03,119.8,74.68,0.31
Anaconda,1,US,1573148392,79,46.13,-112.94,27.0,8.21
Mehamn,90,NO,1573148568,100,71.03,27.85,28.4,9.17
Mount Gambier,40,AU,1573148568,93,-37.83,140.78,46.4,10.29
Pangnirtung,20,CA,1573148568,73,66.15,-65.72,19.4,5.93
Sri Aman,100,MY,1573148568,94,1.24,111.46,75.2,2.59
Guarapari,20,BR,1573148308,74,-20.67,-40.5,81.0,14.99
Carutapera,72,BR,1573148568,74,-1.2,-46.02,82.45,15.41
Mattru,100,SL,1573148568,88,7.62,-11.83,79.34,5.14
Oytal,0,KZ,1573148568,56,42.91,73.27,36.32,2.13
Sobolevo,90,RU,1573148569,86,54.43,31.9,44.4,4.43
Ponta Pora,40,BR,1573148569,65,-22.54,-55.73,82.4,11.41
Baykit,100,RU,1573148569,97,61.68,96.39,21.88,3.2
Lavrentiya,4,RU,1573148569,78,65.58,-170.99,27.72,18.63
Vitim,48,RU,1573148569,99,59.44,112.57,-3.23,1.97
Torbay,75,CA,1573148569,56,47.66,-52.73,43.0,34.45
Kudahuvadhoo,100,MV,1573148569,74,2.67,72.89,82.31,11.36
Matozinhos,20,BR,1573148570,48,-19.56,-44.08,82.4,8.05
Broken Hill,0,AU,1573148570,62,-31.97,141.45,59.0,11.41
Lagoa,4,PT,1573148570,39,37.14,-8.45,66.2,14.99
Vila Franca do Campo,75,PT,1573148570,77,37.72,-25.43,66.99,3.36
Labuhan,17,ID,1573148570,80,-2.54,115.51,74.71,1.41
Lambare,90,PY,1573148570,83,-25.35,-57.61,80.6,10.29
Shieli,0,KZ,1573148571,39,44.18,66.74,40.93,8.14
Taoudenni,13,ML,1573148571,15,22.68,-3.98,79.43,4.54
Ngaoundere,0,CM,1573148571,58,7.32,13.58,69.98,3.04
Altay,100,CN,1573148571,97,47.83,88.13,21.7,1.81
Myaundzha,100,RU,1573148571,95,63.05,147.18,8.17,2.64
Puerto Baquerizo Moreno,40,EC,1573148571,78,-0.9,-89.6,75.2,13.87
Udachnyy,0,RU,1573148572,83,66.42,112.4,-11.21,4.47
Kupang,0,ID,1573148572,80,-10.16,123.6,81.01,9.73
Port Macquarie,90,AU,1573148458,93,-31.43,152.91,55.4,9.06
Nurota,0,UZ,1573148572,55,40.56,65.69,39.2,4.7
Moose Factory,20,CA,1573148572,67,51.26,-80.61,17.6,13.87
Pantelimon,100,RO,1573148572,77,44.45,26.2,61.0,2.24
Praya,51,ID,1573148572,95,-8.71,116.27,66.36,3.53
Inhambane,20,MZ,1573148572,94,-23.87,35.38,77.0,19.46
Mezen,29,RU,1573148573,91,65.85,44.24,16.05,6.04
Twin Falls,3,US,1573148573,55,42.57,-114.46,41.0,4.7
Soller,75,DE,1573148573,75,50.73,6.56,46.99,9.17
Toora-Khem,100,RU,1573148573,96,52.47,96.11,28.26,1.74
